,STATE,ZIPCODE,NUMBER OF RETURNS,NUMBER OF RETURNS WITH TOTAL INCOME,TOTAL INCOME AMOUNT,NUMBER OF RETURNS WITH SALARIES AND WAGES,SALARIES AND WAGES AMOUNT
4333,FL,32628,1460,1460,58081,1180,40525
4334,FL,32631,230,230,16310,150,8079
4335,FL,32639,120,120,5036,90,3175
4336,FL,32640,4160,4160,178100,3220,117451
4337,FL,32641,5630,5630,164832,4850,126611
4338,FL,32643,4660,4660,261272,3850,195930
4339,FL,32648,140,140,5820,100,3621
4340,FL,32653,6490,6490,496998,5230,336939
4341,FL,32656,5820,5820,269378,4610,189782
4342,FL,32658,230,230,9186,190,6030
4343,FL,32664,280,280,15249,200,9178
4344,FL,32666,2580,2580,143428,1940,85390
4345,FL,32667,1680,1680,115722,1280,69042
4346,FL,32668,2130,2130,101630,1620,63317
4347,FL,32669,6330,6330,482626,5200,337886
4348,FL,32680,3010,3010,115225,2330,75546
4349,FL,32681,250,250,8673,190,6431
4350,FL,32686,1800,1800,149703,1440,83027
4351,FL,32692,130,130,8203,50,1722
4352,FL,32693,4430,4430,189820,3590,135778
4353,FL,32694,800,800,35625,650,24266
4354,FL,32696,5180,5180,232991,4240,158003
4355,FL,32697,130,130,5446,100,4288
4356,FL,32701,11550,11550,542529,9760,403016
4357,FL,32702,1390,1390,62520,900,32770
4358,FL,32703,22650,22650,1013863,19940,812061
4359,FL,32707,17770,17770,831972,15120,666325
4360,FL,32708,21750,21750,1543821,18270,1140844
4361,FL,32709,1110,1110,53009,900,40475
4362,FL,32712,20820,20820,1287814,17710,976276
4363,FL,32713,9770,9770,595774,7520,413142
4364,FL,32714,18540,18540,883617,16240,692153
4365,FL,32720,13360,13360,655546,10700,441678
4366,FL,32724,15920,15920,892504,12220,567159
4367,FL,32725,21800,21800,875558,18490,697808
4368,FL,32726,9020,9020,417033,7320,274694
4369,FL,32730,2800,2800,107932,2280,81703
4370,FL,32732,2480,2480,180248,2020,119708
4371,FL,32735,2310,2310,119407,1710,78575
4372,FL,32736,4560,4560,318677,3730,208826
4373,FL,32738,20290,20290,807441,17630,662049
4374,FL,32744,1690,1690,76941,1340,54973
4375,FL,32746,20440,20440,1878900,17260,1330834
4376,FL,32750,11560,11560,669483,9610,502938
4377,FL,32751,9860,9860,1072075,8000,633081
4378,FL,32754,5140,5140,275161,4040,187006
4379,FL,32757,11980,11980,883912,8850,448647
4380,FL,32759,1180,1180,51604,800,30289
4381,FL,32763,9850,9850,422969,7950,296941
4382,FL,32764,1500,1500,85355,1200,58781
4383,FL,32765,26780,26780,1976226,23240,1532742
4384,FL,32766,6930,6930,652029,6060,507720
4385,FL,32767,1050,1050,35269,860,26687
4386,FL,32771,24210,24210,1444528,21240,1122231
4387,FL,32773,14110,14110,547622,12530,456756
4388,FL,32776,5420,5420,345845,4540,251967
4389,FL,32778,9370,9370,504183,6530,273655
4390,FL,32779,13410,13410,1616083,10660,948565
4391,FL,32780,17370,17370,894201,13020,547496
4392,FL,32784,4690,4690,227913,3860,151202
4393,FL,32789,11210,11210,2063444,8720,1070703
4394,FL,32792,23060,23060,1204171,19230,882462
4395,FL,32796,8990,8990,439655,6900,292159
4396,FL,32798,1530,1530,61164,970,32999
4397,FL,32801,8360,8360,722004,7280,513398
4398,FL,32803,11470,11470,867290,9940,655194
4399,FL,32804,9180,9180,957424,7670,606029
4400,FL,32805,9640,9640,245071,8520,197381
4401,FL,32806,13400,13400,1064283,11280,741671
4402,FL,32807,16150,16150,517746,13970,428885
4403,FL,32808,23500,23500,606931,21340,527540
4404,FL,32809,14290,14290,565326,12460,405378
4405,FL,32810,16330,16330,609883,14570,511242
4406,FL,32811,19370,19370,521704,17410,458216
4407,FL,32812,17270,17270,885154,14850,689276
4408,FL,32814,4310,4310,589377,3720,407086
4409,FL,32817,16030,16030,759470,13970,583388
4410,FL,32818,22910,22910,714601,20320,607181
4411,FL,32819,14340,14340,1276598,11890,810390
4412,FL,32820,4050,4050,268861,3510,214531
4413,FL,32821,12650,12650,467778,11440,393007
4414,FL,32822,28610,28610,877271,25150,742586
4415,FL,32824,23520,23520,953998,20710,813828
4416,FL,32825,28200,28200,1265832,24680,1052427
4417,FL,32826,10620,10620,399473,9420,325741
4418,FL,32827,6000,6000,704752,5170,525087
4419,FL,32828,28550,28550,1772778,25370,1479740
4420,FL,32829,9820,9820,492822,8710,420509
4421,FL,32830,760,760,207326,740,201677
4422,FL,32832,11270,11270,860156,10030,698134
4423,FL,32833,4410,4410,255284,3750,201481
4424,FL,32835,20830,20830,1031484,18060,810715
4425,FL,32836,9360,9360,1142615,7930,725058
4426,FL,32837,25540,25540,1229763,21970,975377
4427,FL,32839,26080,26080,774113,23720,658910
4428,FL,32901,10360,10360,429523,7900,283533
4429,FL,32903,6840,6840,690923,4860,407385
4430,FL,32904,14700,14700,909690,11410,647499
4431,FL,32905,11410,11410,418636,9170,298278
4432,FL,32907,19620,19620,829465,16240,638365
4433,FL,32908,5660,5660,227360,4890,181803
4434,FL,32909,15180,15180,663970,12580,501459
4435,FL,32920,5390,5390,315639,3830,174315
4436,FL,32922,6200,6200,213653,5220,144080
4437,FL,32925,570,570,30347,490,23251
4438,FL,32926,10200,10200,498896,8160,353493
4439,FL,32927,12360,12360,584271,10500,457980
4440,FL,32931,7200,7200,619649,4740,302581
4441,FL,32934,8570,8570,656699,6650,434066
4442,FL,32935,20150,20150,859462,16410,624432
4443,FL,32937,13020,13020,1202762,9470,711429
4444,FL,32940,19580,19580,1755233,13580,1062674
4445,FL,32948,2900,2900,100599,2630,81437
4446,FL,32949,1200,1200,91918,830,53162
4447,FL,32950,2200,2200,156590,1690,103591
4448,FL,32951,5310,5310,542512,3200,272179
4449,FL,32952,10110,10110,847441,7390,500361
4450,FL,32953,11040,11040,757093,8380,473055
4451,FL,32955,18620,18620,1249496,14700,852270
4452,FL,32958,13100,13100,684281,9010,365608
4453,FL,32960,9530,9530,471653,7260,277375
4454,FL,32962,11470,11470,522008,8690,321996
4455,FL,32963,7500,7500,3103187,3470,812551
4456,FL,32966,8580,8580,522606,5170,226182
4457,FL,32967,10490,10490,727303,7770,364731
4458,FL,32968,6600,6600,445308,4910,266320
4459,FL,32970,240,240,12416,190,7548
4460,FL,32976,3940,3940,159577,1980,61778
4461,FL,33001,190,190,11151,110,5084
4462,FL,33004,7780,7780,359369,6360,257155
4463,FL,33009,19040,19040,952069,13670,578806
4464,FL,33010,22630,22630,560041,18540,475105
4465,FL,33012,37030,37030,1050214,30230,882301
4466,FL,33013,17620,17620,480522,14130,403017
4467,FL,33014,20710,20710,924519,17170,691395
4468,FL,33015,31420,31420,1248389,26560,1062519
4469,FL,33016,23990,23990,945873,19830,735999
4470,FL,33018,25950,25950,1025313,21770,868193
4471,FL,33019,6810,6810,913303,4440,438561
4472,FL,33020,20980,20980,786430,17580,627165
4473,FL,33021,22160,22160,1367422,17410,914750
4474,FL,33023,34050,34050,1123274,29640,986108
4475,FL,33024,36080,36080,1700106,30300,1336206
4476,FL,33025,33720,33720,1485970,29510,1313054
4477,FL,33026,14870,14870,983915,12310,751320
4478,FL,33027,28050,28050,1854952,22420,1493315
4479,FL,33028,12250,12250,945737,10590,780715
4480,FL,33029,20750,20750,1655764,18030,1360044
4481,FL,33030,14060,14060,481966,12110,376182
4482,FL,33031,2830,2830,199514,2190,124485
4483,FL,33032,21710,21710,781253,18660,673734
4484,FL,33033,26460,26460,927748,22760,810743
4485,FL,33034,8670,8670,220208,7620,189076
4486,FL,33035,6640,6640,275161,5780,238160
4487,FL,33036,1790,1790,313531,1180,93612
4488,FL,33037,6970,6970,1260562,5110,357433
4489,FL,33040,17490,17490,1430838,14550,723937
4490,FL,33042,3050,3050,305105,2140,134896
4491,FL,33043,2320,2320,160852,1700,83434
4492,FL,33050,5260,5260,397914,4120,194185
4493,FL,33051,440,440,60629,250,17035
4494,FL,33054,13960,13960,367533,11790,311481
4495,FL,33055,23520,23520,701436,19480,596382
4496,FL,33056,18160,18160,581193,15590,488262
4497,FL,33060,16510,16510,786104,13770,560404
4498,FL,33062,12670,12670,1940511,8160,675791
4499,FL,33063,26840,26840,1149874,22080,920618
4500,FL,33064,27030,27030,1645040,21880,991008
4501,FL,33065,26140,26140,1170677,22460,953531
4502,FL,33066,8850,8850,425446,5780,259086
4503,FL,33067,12290,12290,1448812,10390,1011948
4504,FL,33068,25780,25780,809997,22410,719318
4505,FL,33069,12860,12860,595983,9950,382910
4506,FL,33070,2830,2830,269229,2120,123058
4507,FL,33071,18410,18410,1342398,15760,1027280
4508,FL,33073,14700,14700,863820,12440,702605
4509,FL,33076,15490,15490,2116388,13070,1469846
4510,FL,33109,200,200,444490,100,52375
4511,FL,33122,680,680,54414,540,40547
4512,FL,33125,25150,25150,686484,20400,587200
4513,FL,33126,25390,25390,828878,21050,672021
4514,FL,33127,13140,13140,324669,11080,278629
4515,FL,33128,2760,2760,64143,2150,55398
4516,FL,33129,6680,6680,665923,5140,458865
4517,FL,33130,13570,13570,639962,11070,542126
4518,FL,33131,10020,10020,1894002,8180,1166323
4519,FL,33132,5460,5460,571687,4450,395498
4520,FL,33133,15430,15430,2202979,12000,1177462
4521,FL,33134,19190,19190,1892341,14840,1168450
4522,FL,33135,16840,16840,440104,13420,369742
4523,FL,33136,6420,6420,187128,5630,164011
4524,FL,33137,10310,10310,848906,8580,574583
4525,FL,33138,13090,13090,1050149,10720,631986
4526,FL,33139,17720,17720,3329199,13840,1450291
4527,FL,33140,8570,8570,2615854,6040,765683
4528,FL,33141,17590,17590,1309460,13960,802500
4529,FL,33142,24670,24670,584716,20140,491722
4530,FL,33143,13500,13500,1851084,10700,998743
4531,FL,33144,14170,14170,496760,11180,389622
4532,FL,33145,14910,14910,702116,11850,548465
4533,FL,33146,4460,4460,1032253,3440,568875
4534,FL,33147,23770,23770,588048,19670,496309
4535,FL,33149,4450,4450,1263956,3020,595540
4536,FL,33150,12990,12990,355927,11100,302097
4537,FL,33154,5870,5870,1568554,3950,405105
4538,FL,33155,22950,22950,1210626,18290,937037
4539,FL,33156,13600,13600,2909720,10480,1576240
4540,FL,33157,31310,31310,1766610,25620,1302646
4541,FL,33158,2740,2740,475314,2110,282372
4542,FL,33160,18080,18080,1944614,11990,868973
4543,FL,33161,25750,25750,830950,22420,717946
4544,FL,33162,21590,21590,689821,18340,564978
4545,FL,33165,28860,28860,1215753,22700,920704
4546,FL,33166,12210,12210,713343,9970,507824
4547,FL,33167,9950,9950,288402,8500,244670
4548,FL,33168,14260,14260,421164,12360,366751
4549,FL,33169,20870,20870,745969,18250,633041
4550,FL,33170,6610,6610,248346,5560,192256
4551,FL,33172,21840,21840,771707,18020,643082
4552,FL,33173,16390,16390,996720,13140,741370
4553,FL,33174,15860,15860,544251,12840,441207
4554,FL,33175,28040,28040,1300113,22630,997001
4555,FL,33176,24590,24590,1906557,20070,1334239
4556,FL,33177,28180,28180,1031625,23550,882281
4557,FL,33178,20030,20030,1298253,16010,1028187
4558,FL,33179,20520,20520,998469,16820,731176
4559,FL,33180,13520,13520,1546395,8890,693933
4560,FL,33181,8720,8720,524650,6990,334642
4561,FL,33182,7070,7070,384662,5890,293025
4562,FL,33183,18650,18650,831305,15420,660242
4563,FL,33184,11110,11110,465357,8930,359528
4564,FL,33185,13130,13130,767794,11020,632668
4565,FL,33186,33560,33560,1796866,28070,1467465
4566,FL,33187,8870,8870,469490,7300,360411
4567,FL,33189,12000,12000,516788,10160,438381
4568,FL,33190,6570,6570,283733,5810,254938
4569,FL,33193,23910,23910,952721,19940,814069
4570,FL,33194,2770,2770,150374,2330,128718
4571,FL,33196,23680,23680,1197771,20000,1004408
4572,FL,33301,8600,8600,2301549,6700,1136830
4573,FL,33304,9880,9880,1166561,7900,653529
4574,FL,33305,6290,6290,851882,4810,416896
4575,FL,33306,1980,1980,212224,1440,119577
4576,FL,33308,15310,15310,2185445,9980,983239
4577,FL,33309,19530,19530,786895,16720,641246
4578,FL,33311,32830,32830,945347,29070,794534
4579,FL,33312,24590,24590,1269675,20610,925923
4580,FL,33313,29150,29150,817944,25770,718794
4581,FL,33314,11790,11790,532364,10080,428363
4582,FL,33315,6570,6570,424059,5350,306617
4583,FL,33316,6130,6130,1234718,4480,478108
4584,FL,33317,17860,17860,1067269,14700,781445
4585,FL,33319,24480,24480,911571,20070,727456
4586,FL,33321,25330,25330,1102146,19360,812069
4587,FL,33322,19960,19960,1048369,15410,772447
4588,FL,33323,10750,10750,850174,9350,602439
4589,FL,33324,22520,22520,1689445,18510,1174186
4590,FL,33325,13870,13870,1123670,11780,735223
4591,FL,33326,14900,14900,1219143,12330,928353
4592,FL,33327,8310,8310,1137742,7030,822946
4593,FL,33328,12840,12840,1220664,10750,856565
4594,FL,33330,6550,6550,1026500,5430,576228
4595,FL,33331,9980,9980,1199657,8310,824021
4596,FL,33332,4170,4170,671946,3440,419741
4597,FL,33334,15450,15450,789812,12840,602355
4598,FL,33351,17930,17930,779108,15760,676930
4599,FL,33401,13580,13580,1852787,10970,662488
4600,FL,33403,6850,6850,259410,5910,203463
4601,FL,33404,13950,13950,1088613,11510,509933
4602,FL,33405,9510,9510,638786,7700,397060
4603,FL,33406,13020,13020,553091,10680,425769
4604,FL,33407,14730,14730,590904,13040,434306
4605,FL,33408,9580,9580,1842012,6230,710804
4606,FL,33409,15190,15190,624342,13400,486750
4607,FL,33410,17720,17720,2320052,13480,984644
4608,FL,33411,34280,34280,2162803,28220,1535176
4609,FL,33412,7270,7270,813682,5510,414555
4610,FL,33413,8020,8020,372657,6830,299226
4611,FL,33414,25870,25870,2432535,21160,1552801
4612,FL,33415,22710,22710,698065,18890,579941
4613,FL,33417,14890,14890,520457,11490,373267
4614,FL,33418,19710,19710,3351457,13700,1361836
4615,FL,33426,12280,12280,589282,9780,437340
4616,FL,33428,18330,18330,1253622,14330,840644
4617,FL,33430,8730,8730,278140,8040,223391
4618,FL,33431,8280,8280,1508180,6110,652588
4619,FL,33432,10370,10370,2498009,7150,947332
4620,FL,33433,21310,21310,1803421,14450,957144
4621,FL,33434,9500,9500,1046630,5440,415903
4622,FL,33435,18020,18020,1178326,14780,628223
4623,FL,33436,21260,21260,1390128,15730,791823
4624,FL,33437,19170,19170,1408558,9480,471565
4625,FL,33438,410,410,15871,370,13325
4626,FL,33440,8240,8240,364720,6760,242148
4627,FL,33441,13370,13370,697652,10750,478857
4628,FL,33442,13860,13860,742619,9600,457769
4629,FL,33444,11550,11550,658486,9980,456471
4630,FL,33445,16570,16570,1049704,12490,610701
4631,FL,33446,12710,12710,1835404,6260,636737
4632,FL,33449,4290,4290,547370,3060,280630
4633,FL,33455,9590,9590,1600839,6350,447763
4634,FL,33458,24990,24990,2661292,20590,1706302
4635,FL,33460,15490,15490,540128,13320,426804
4636,FL,33461,19890,19890,624808,16790,511905
4637,FL,33462,15500,15500,1233771,12490,530161
4638,FL,33463,28650,28650,1212852,24490,997202
4639,FL,33467,24630,24630,1812564,17890,1092264
4640,FL,33469,7600,7600,1182355,5010,466840
4641,FL,33470,12970,12970,814326,11100,627960
4642,FL,33471,1910,1910,77237,1440,51277
4643,FL,33472,8840,8840,711022,5620,362714
4644,FL,33473,4070,4070,671974,2670,323132
4645,FL,33476,2690,2690,78367,2440,67585
4646,FL,33477,6460,6460,1936029,3260,467301
4647,FL,33478,6430,6430,668678,5220,414156
4648,FL,33480,5200,5200,5589737,2390,711284
4649,FL,33483,6840,6840,2073730,4480,609800
4650,FL,33484,12130,12130,817387,6590,315775
4651,FL,33486,10260,10260,1035196,8100,647492
4652,FL,33487,9290,9290,1430802,6250,643445
4653,FL,33493,1330,1330,38570,1200,34484
4654,FL,33496,10390,10390,2535643,6170,695791
4655,FL,33498,6600,6600,687899,4910,442823
4656,FL,33503,190,190,9995,160,5712
4657,FL,33510,13590,13590,654246,11880,519989
4658,FL,33511,26240,26240,1411533,22900,1098930
4659,FL,33513,4290,4290,193723,3310,125663
4660,FL,33514,730,730,29775,600,22147
4661,FL,33521,350,350,11267,290,9001
4662,FL,33523,6790,6790,302399,5650,219022
4663,FL,33525,7460,7460,421794,5850,271136
4664,FL,33527,6680,6680,359901,5800,273552
4665,FL,33534,6390,6390,266107,5730,227213
4666,FL,33538,1780,1780,71809,1340,48383
4667,FL,33540,3380,3380,139334,2540,97037
4668,FL,33541,7970,7970,344180,5560,218354
4669,FL,33542,8230,8230,293441,6100,194492
4670,FL,33543,12490,12490,930476,10680,704830
4671,FL,33544,11670,11670,862384,10020,653689
4672,FL,33545,8030,8030,466122,7160,390817
4673,FL,33547,10890,10890,1098818,9440,842192
4674,FL,33548,3410,3410,381846,2700,243810
4675,FL,33549,8080,8080,558866,6670,400159
4676,FL,33556,11060,11060,1548715,9170,888255
4677,FL,33558,10740,10740,1034919,8980,731792
4678,FL,33559,7060,7060,402855,6160,314972
4679,FL,33563,12090,12090,458026,10750,369959
4680,FL,33565,7290,7290,393858,5920,280875
4681,FL,33566,9790,9790,533301,8540,383427
4682,FL,33567,4540,4540,224817,3970,175564
4683,FL,33569,11690,11690,710616,10100,565741
4684,FL,33570,11760,11760,538817,10160,411342
4685,FL,33572,9500,9500,897954,7550,594309
4686,FL,33573,12740,12740,772324,5040,222607
4687,FL,33576,2630,2630,167825,1650,78856
4688,FL,33578,22620,22620,1205843,20470,1013840
4689,FL,33579,13710,13710,826303,12340,696497
4690,FL,33584,11720,11720,582384,10080,451224
4691,FL,33585,560,560,26273,430,19046
4692,FL,33592,4440,4440,275891,3750,178945
4693,FL,33594,15380,15380,898971,13070,691855
4694,FL,33596,13110,13110,1060397,11000,766732
4695,FL,33597,3050,3050,129965,2510,92182
4696,FL,33598,8680,8680,442865,7150,287290
4697,FL,33602,7700,7700,1028145,6850,600077
4698,FL,33603,9450,9450,421593,8280,333916
4699,FL,33604,17190,17190,600134,14800,497027
4700,FL,33605,7500,7500,237888,6640,181744
4701,FL,33606,8510,8510,1365392,7220,768170
4702,FL,33607,12310,12310,625831,10640,438064
4703,FL,33609,8720,8720,1143116,7290,708439
4704,FL,33610,18550,18550,571340,16470,468539
4705,FL,33611,15440,15440,1336468,13000,951435
4706,FL,33612,19710,19710,650058,17030,507859
4707,FL,33613,14270,14270,862245,12360,492593
4708,FL,33614,24460,24460,779047,20780,626774
4709,FL,33615,23520,23520,1014934,19940,795674
4710,FL,33616,7440,7440,442273,6580,339718
4711,FL,33617,19810,19810,852104,17250,649086
4712,FL,33618,13160,13160,1086477,10530,694929
4713,FL,33619,16520,16520,567801,14620,483585
4714,FL,33621,830,830,44595,830,41443
4715,FL,33624,19720,19720,1097842,16690,844059
4716,FL,33625,12910,12910,697479,11030,567044
4717,FL,33626,13390,13390,1625068,11450,1172082
4718,FL,33629,11450,11450,2234855,9120,1291001
4719,FL,33634,11340,11340,499471,9720,387323
4720,FL,33635,8740,8740,471408,7640,393382
4721,FL,33637,8050,8050,336260,7220,279431
4722,FL,33647,28720,28720,2625643,25270,1984909
4723,FL,33701,8920,8920,992050,7030,536604
4724,FL,33702,14990,14990,909532,12480,631598
4725,FL,33703,11720,11720,1120889,9590,707203
4726,FL,33704,8130,8130,1132101,6550,628534
4727,FL,33705,12610,12610,597168,10750,436966
4728,FL,33706,8070,8070,1018270,5350,450941
4729,FL,33707,12180,12180,856728,8350,462866
4730,FL,33708,8050,8050,772619,5370,406964
4731,FL,33709,11970,11970,466036,9480,338009
4732,FL,33710,16850,16850,909449,13870,656187
4733,FL,33711,8410,8410,414020,6840,254318
4734,FL,33712,12090,12090,459315,10620,357626
4735,FL,33713,15360,15360,655194,13290,539474
4736,FL,33714,8510,8510,276663,7390,227873
4737,FL,33715,3960,3960,847588,2260,282768
4738,FL,33716,9120,9120,479887,8440,417306
4739,FL,33744,100,100,4448,90,3566
4740,FL,33755,12250,12250,514030,10570,386924
4741,FL,33756,14310,14310,958081,11320,552791
4742,FL,33759,9120,9120,537701,7290,381637
4743,FL,33760,7930,7930,366743,6970,279689
4744,FL,33761,8790,8790,597750,6540,380785
4745,FL,33762,3230,3230,316559,2620,199098
4746,FL,33763,9210,9210,451446,6260,257716
4747,FL,33764,12580,12580,751817,10060,513756
4748,FL,33765,6690,6690,333698,5720,234893
4749,FL,33767,4190,4190,778932,2400,276813
4750,FL,33770,11790,11790,664164,9180,410105
4751,FL,33771,13780,13780,526443,10680,367544
4752,FL,33772,11650,11650,696531,8770,446647
4753,FL,33773,8220,8220,425825,6860,321433
4754,FL,33774,8510,8510,493726,6350,307275
4755,FL,33776,6100,6100,465948,4600,299905
4756,FL,33777,8390,8390,607466,6680,360966
4757,FL,33778,6920,6920,342769,5530,240886
4758,FL,33781,12290,12290,475063,10580,389358
4759,FL,33782,10260,10260,518364,7940,356578
4760,FL,33785,2900,2900,368583,1940,171084
4761,FL,33786,780,780,199922,490,93159
4762,FL,33801,12900,12900,426466,11040,324744
4763,FL,33803,12590,12590,880884,10160,484034
4764,FL,33805,10250,10250,345423,8990,278382
4765,FL,33809,13340,13340,646322,10780,465893
4766,FL,33810,21490,21490,1028805,17710,744512
4767,FL,33811,10410,10410,609294,8870,437759
4768,FL,33812,5810,5810,372993,5130,293651
4769,FL,33813,15880,15880,1277256,13150,833943
4770,FL,33815,5140,5140,161159,4490,110547
4771,FL,33823,13780,13780,654814,11580,484899
4772,FL,33825,8960,8960,338918,6830,210909
4773,FL,33827,1170,1170,69253,950,42789
4774,FL,33830,11420,11420,515230,9870,390668
4775,FL,33834,1980,1980,72651,1770,58154
4776,FL,33837,12520,12520,609626,10490,430458
4777,FL,33838,1960,1960,71593,1690,54634
4778,FL,33839,1870,1870,79290,1630,62078
4779,FL,33841,3190,3190,135623,2700,104182
4780,FL,33843,3590,3590,146897,2730,93357
4781,FL,33844,15280,15280,592332,12610,416417
4782,FL,33847,130,130,7271,120,5373
4783,FL,33848,500,500,15194,430,11952
4784,FL,33849,710,710,34017,590,25324
4785,FL,33850,3500,3500,141899,2850,102025
4786,FL,33851,570,570,22000,480,17593
4787,FL,33852,8330,8330,374938,5620,190852
4788,FL,33853,4550,4550,163021,3850,119427
