,Brewery,Address,City,State,ZIP Code
386,bjs restaurant & brewery - west covina,2917 e eastland ctr dr,West Covina,CA,91791.0
387,black cock brewing company,1444 n batavia st,Orange,CA,92867.0
388,black doubt brewing company,"452 old mammoth rd, #104",Mammoth Lakes,CA,93546.0
389,black gold brewing co,508 center st,Taft,CA,93268.0
390,black hammer brewing,544 bryant st,San Francisco,CA,94107.0
391,black market brewing co,41740 enterprise cir n ste 109,Temecula,CA,92590.0
392,black plague brewing,2550 jason court,Oceanside,CA,92056.0
393,black tusk brewing,600 main st,Martinez,CA,94520.0
394,blaker brewing,1063 montcalire dr,Ceres,CA,95307.0
395,blue frog brewing company,1740 travis blvd,Fairfield,CA,94533.0
396,blue note brewing company,750 dead cat aly,Woodland,CA,95695.0
397,blue oak brewing co,821 cherry ln,San Carlos,CA,94070.0
398,bns brewing & distilling co.,10960 wheatlands ave ste 101,Santee,CA,92071.0
399,bolt brewery,8179 center st,La Mesa,CA,91942.0
400,bonaventure brewing co,404 s figueroa st ste 418a,Los Angeles,CA,90071.0
401,boomtown brewery,700 jackson st,Los Angeles,CA,90012.0
402,bootleggers brewery,1100 e truslow ave,Fullerton,CA,92831.0
404,bootlegger's brewery costa mesa,2930 bristol st,Costa Mesa,CA,92626.0
405,bootlegger's brewery redlands,2351 w lugonia ave,Redlands,CA,92374.0
406,booze brothers brewing co.,2545 progress st,Vista,CA,92081.0
407,border x,4400 gage ave,Bell,CA,nan
408,border x brewing,2181 logan ave,San Diego,CA,92113.0
410,bottle logic brewing,1072 n armando st,Anaheim,CA,92806.0
411,bravery brewing,42705 8th st w,Lancaster,CA,93534.0
412,breakwater brewing co,101 n coast hwy ste c140,Oceanside,CA,92054.0
413,brew rebellion,195 n del rosa dr,San Bernardino,CA,92408.0
415,brewbakers brewing co,219 e main st,Visalia,CA,93291.0
416,brewcaipa brewing co.,35058 yucaipa blvd,Yucaipa,CA,92399.0
417,brewery at abigaile,1301 manhattan ave,Hermosa Beach,CA,90254.0
418,brewery at lake tahoe,3542 lake tahoe blvd,South Lake Tahoe,CA,96150.0
419,brewery at simmzys burbank,3000 w olive ave,Burbank,CA,91505.0
420,brewery draconum,24407 main st # 09,Newhall,CA,91321.0
423,brewery in planning - culver city,10743 franklin ave,Culver City,CA,90230.0
437,brewery twenty five,106 3rd st,Hollister,CA,95023.0
438,brewheim brewing company,1931 e wright cir,Anaheim,CA,92806.0
439,brewhouse at bear river,11 bear paws way,Loleta,CA,95551.0
440,brewing reserve of california,2930 college ave suite d,Costa Mesa,CA,92626.0
442,brewlab,4191 carpinteria ave ste 8,Carpinteria,CA,93013.0
444,brewtality,930 mclaughlin ave,San Jose,CA,95122.0
