GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,ESTAB,RCPTOT,PAYANN,PAYQTR1,EMP,ADMIN_PCT,IMPUT_PCT
Geographic identifier code,Id2,Geographic area name,Id,2012 NAICS code,Meaning of 2012 NAICS code,Id,Year,Number of establishments,"Sales ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of paid employees for pay period including March 12,Percent of sales from administrative records (%),Percent of sales estimated (%)
0400000US08,8,Colorado,,72233,Mobile food services,,2012,65,7343,1641,306,115,37.9,25.2
0400000US08,8,Colorado,,722330,Mobile food services,,2012,65,7343,1641,306,115,37.9,25.2
0400000US08,8,Colorado,,7224,Drinking places (alcoholic beverages),,2012,753,420457,114279,27750,8762,30.1,9.9
0400000US08,8,Colorado,,72241,Drinking places (alcoholic beverages),,2012,753,420457,114279,27750,8762,30.1,9.9
0400000US08,8,Colorado,,722410,Drinking places (alcoholic beverages),,2012,753,420457,114279,27750,8762,30.1,9.9
0400000US08,8,Colorado,,7225,Restaurants and other eating places,,2012,9751,8511404,2623463,641707,176832,21.7,9.3
0400000US08,8,Colorado,,72251,Restaurants and other eating places,,2012,9751,8511404,2623463,641707,176832,21.7,9.3
0400000US08,8,Colorado,,722511,Full-service restaurants,,2012,4691,4555946,1634848,405253,102253,24.7,9.2
0400000US08,8,Colorado,,722513,Limited-service restaurants,,2012,3821,3206834,807084,192897,61257,19.2,10.4
0400000US08,8,Colorado,,722514,"Cafeterias, grill buffets, and buffets",,2012,84,125479,31470,8836,2408,12.5,10.1
0400000US08,8,Colorado,,722515,Snack and nonalcoholic beverage bars,,2012,1155,623145,150061,34721,10914,14.2,4.6
0400000US09,9,Connecticut,,72,Accommodation and food services,,2012,8263,9542068,2590778,619127,134546,19.7,9.9
0400000US09,9,Connecticut,,721,Accommodation,,2012,460,3293672,804141,192430,27375,3.8,5.4
0400000US09,9,Connecticut,,7211,Traveler accommodation,,2012,397,3222053,784824,189580,27058,2.8,5.4
0400000US09,9,Connecticut,,72111,Hotels (except casino hotels) and motels,,2012,358,,,,,,
0400000US09,9,Connecticut,,721110,Hotels (except casino hotels) and motels,,2012,358,,,,,,
0400000US09,9,Connecticut,,72112,Casino hotels,,2012,2,,,,,,
0400000US09,9,Connecticut,,721120,Casino hotels,,2012,2,,,,,,
0400000US09,9,Connecticut,,72119,Other traveler accommodation,,2012,37,,,,,,
0400000US09,9,Connecticut,,721191,Bed-and-breakfast inns,,2012,35,,,,,,
0400000US09,9,Connecticut,,721199,All other traveler accommodation,,2012,2,,,,,,
0400000US09,9,Connecticut,,7212,RV (recreational vehicle) parks and recreational camps,,2012,60,71150,19242,2835,313,47,2.2
0400000US09,9,Connecticut,,72121,RV (recreational vehicle) parks and recreational camps,,2012,60,71150,19242,2835,313,47,2.2
0400000US09,9,Connecticut,,721211,RV (recreational vehicle) parks and campgrounds,,2012,32,20275,4485,530,89,37,5.2
0400000US09,9,Connecticut,,721214,Recreational and vacation camps (except campgrounds),,2012,28,50875,14757,2305,224,51,0.9
0400000US09,9,Connecticut,,7213,Rooming and boarding houses,,2012,3,469,75,15,4,44.8,9.4
0400000US09,9,Connecticut,,72131,Rooming and boarding houses,,2012,3,469,75,15,4,44.8,9.4
0400000US09,9,Connecticut,,721310,Rooming and boarding houses,,2012,3,469,75,15,4,44.8,9.4
0400000US09,9,Connecticut,,722,Food services and drinking places,,2012,7803,6248396,1786637,426697,107171,28,12.3
0400000US09,9,Connecticut,,7223,Special food services,,2012,732,876898,256248,60377,11146,6.4,11.2
0400000US09,9,Connecticut,,72231,Food service contractors,,2012,522,693800,200185,50311,8204,1.3,11.4
0400000US09,9,Connecticut,,722310,Food service contractors,,2012,522,693800,200185,50311,8204,1.3,11.4
0400000US09,9,Connecticut,,72232,Caterers,,2012,186,178009,55181,9918,2908,25.7,10.1
0400000US09,9,Connecticut,,722320,Caterers,,2012,186,178009,55181,9918,2908,25.7,10.1
0400000US09,9,Connecticut,,72233,Mobile food services,,2012,24,5089,882,148,34,20.4,22.7
0400000US09,9,Connecticut,,722330,Mobile food services,,2012,24,5089,882,148,34,20.4,22.7
0400000US09,9,Connecticut,,7224,Drinking places (alcoholic beverages),,2012,345,154179,37723,9513,2675,33.6,12.2
0400000US09,9,Connecticut,,72241,Drinking places (alcoholic beverages),,2012,345,154179,37723,9513,2675,33.6,12.2
0400000US09,9,Connecticut,,722410,Drinking places (alcoholic beverages),,2012,345,154179,37723,9513,2675,33.6,12.2
0400000US09,9,Connecticut,,7225,Restaurants and other eating places,,2012,6726,5217319,1492666,356807,93350,31.5,12.5
0400000US09,9,Connecticut,,72251,Restaurants and other eating places,,2012,6726,5217319,1492666,356807,93350,31.5,12.5
